restaurant_name,Number_of_Outlets,Average_Rating,Average_Votes
Chennai Express,2,1.6,7.5
Chicago Pizza,12,2.32,52.75
Chick-fil-A,2,3.7,96.0
Chili's,5,4.58,1631.2
Chili's Grill & Bar,2,3.95,406.5
Chilli Tadka,2,0.0,1.5
Chimney,3,3.03,31.67
China Garden,2,3.85,579.5
China Hot Pot,2,2.75,15.5
China Hut,2,2.7,17.0
China Town,7,2.03,9.71
Chinese Corner,5,1.24,79.6
Chinese Fast Food,2,0.0,0.0
Chinese Food,3,2.0,7.0
Chinese Food Corner,3,0.83,6.67
Chinese Hot,2,0.0,0.5
Chinese Hut,7,2.73,37.29
Chinese King,2,2.5,38.5
Choco Kraft,2,1.6,7.0
Chokola,2,3.45,198.5
Chowringhee,8,2.56,98.12
Chutneez Restaurant Lounge & Bar,2,2.55,128.0
Cinnabon,2,4.0,378.5
Circus,2,3.95,359.5
Clever Fox Cafe,2,3.1,25.5
Coco Bambu,2,4.55,23.5
Cocoberry,9,3.42,62.67
Coldpress Company,2,4.05,54.0
Colonel's Kababz,4,3.2,191.5
Comesum,2,2.35,150.0
Cones & Curries,2,1.85,76.5
Cook Du Kdu,2,3.15,82.0
Costa Coffee,20,2.42,43.05
Country Curries,2,3.1,73.5
Crazy Noodles,2,1.8,254.5
Crudo Juicery,2,4.3,93.5
Crust N Cakes,2,3.3,12.0
D Food,2,0.0,1.5
DCK- Dana Choga's Kitchen,4,3.12,259.25
Da Pizza Corner,5,2.26,4.6
Da Pizza Zone,2,0.0,1.0
Dabba Meat,2,3.25,112.0
Dana Pani,2,1.4,2.0
Deez Biryani & Kebabs,4,3.65,383.0
Defence Bakery,3,3.7,263.67
Delhi Biryani Hut,2,1.35,4.5
Delhi Chaat Bhandar,2,0.0,0.5
Delhi Club House,2,4.0,248.5
Delight Express,2,1.45,4.0
Desi Tadka,2,1.5,3.0
Desi Vibes,3,3.9,1014.33
Dev Food,2,0.0,0.0
Dezertfox,2,3.9,90.5
Dilli BC,2,4.25,175.5
Dilli Darbar,3,3.1,68.0
Dilli Light,2,1.3,8.0
Dilli Rasoi,2,1.6,15.5
Din Tai Fung,2,4.35,498.5
Dishoom,2,4.6,634.5
Dolce Gelato,7,0.89,2.57
Domino's Pizza,79,2.74,84.09
Dosa Plaza,2,1.6,7.5
Doughlicious,3,3.5,101.33
Drifters Cafe,2,4.0,124.0
Drool Waffles,2,3.65,118.5
Druk,2,3.45,37.5
Dunkin Donuts,2,4.0,94.0
Dunkin' Donuts,22,3.14,271.55
D�_ner Grill,3,3.8,196.67
D�_vero��lu,2,4.3,141.5
EDC Mania,2,1.65,20.5
Effingut Brewerkz,2,4.3,953.0
Eggers Madhouse,2,3.85,349.0
Embassy,2,3.25,416.0
Essen Foods,2,0.0,0.5
Evergreen Sweets,2,2.7,15.0
Faaso's,2,1.8,17.0
Faasos,8,2.94,9.62
Fabulous Cake Bites,2,3.5,33.5
Farzi Cafe,6,4.37,1683.0
Fast Trax,2,3.3,103.5
Fat Lulu's,2,3.75,159.5
Finger Licious,3,2.2,108.33
Firangi Bake,2,0.0,0.0
First Eat,2,3.8,109.5
Fish Streat,2,3.7,241.5
Fit Bites,2,3.75,90.0
Flavors Of London,2,1.5,4.0
Flavours,2,3.1,42.5
Flavours Kitchen,2,0.0,1.5
Flirty Momo's,5,2.92,17.8
Fluffles - The Fluffy Waffle Co.,2,3.0,17.0
Flying Cakes,3,2.23,68.33
Food Express,2,1.8,64.0
Food Factory,2,1.5,7.5
Food Plaza,3,1.07,8.0
Food Scouts,3,4.43,104.0
Foodhall,3,2.53,47.67
Foodies,3,0.0,0.0
Fresh Meat CO,2,1.45,2.0
Fresh n Refresh,2,3.1,23.0
FreshMenu,4,3.72,116.75
Frontier,14,2.83,8.93
Frozen Factory,2,3.8,75.5
Garam Dharam,2,3.55,902.5
Garam Masala,2,0.0,0.0
Garden Hut,2,2.9,10.5
Garota de Ipanema,2,4.6,29.5
Gazebo,3,4.17,426.33
Gelato Vinto,4,2.98,17.5
Ghar Ka Khana,2,0.0,0.5
Giani,29,2.69,29.45
Giani's,22,2.78,52.27
Go Kylin,2,3.15,45.0
GoGourmet,4,2.65,24.75
Gola Sizzlers,4,3.3,492.0
Golden Bakery,2,0.0,1.0
Goli Vada Pav No. 1,6,2.75,91.33
Goosebumps,3,3.8,129.0
Gopala,10,3.29,26.4
Granite City Food & Brewery,2,4.05,314.0
Green Chick Chop,51,2.67,18.9
Green Chilli,2,1.4,9.5
Green Leaf,2,3.25,110.0
Green Restaurant,2,1.8,23.5
Green Valley Chinese Food,2,0.0,0.0
Grillz,2,2.35,52.0
Grover Sweets,2,1.55,5.0
Gulab,2,2.95,25.5
Gullu's,2,3.0,57.0
Gung The Palace,2,3.95,315.0
Gupta Chat Corner,2,3.5,71.5
Gupta Ji Ka Dhaba,2,1.3,24.5
Gymkhana,2,4.7,164.0
Habibi,2,3.4,165.0
Habibi Express,3,1.5,59.0
Haldiram Bhujiawala,2,3.45,31.0
Haldiram's,16,3.62,282.81
Halki Aanch,2,3.0,51.5
Hangchuaa's Chinese Food Corner,3,2.97,20.0
Happy Hakka,5,3.86,294.2
Hard Rock Cafe,3,4.2,1163.67
Harry's Bar + Cafe,2,3.65,393.5
Hasty Tasty,3,2.03,33.0
Havmor Ice Cream,3,3.37,19.0
Hawkers,2,3.05,212.0
Health Buzzz,3,3.13,13.33
High On Burgers,2,3.35,76.0
Hira Sweets,3,3.03,46.67
Hong Kong Express,4,3.48,127.5
Hornbill,2,3.55,78.0
Hot & Spicy,2,1.45,2.0
Hot Cherries,2,3.6,100.0
Hot Joint Fast Food,2,1.3,30.5
Hot Pot,4,2.08,58.0
Hot Stuff,2,3.4,59.5
Hotel Malabar,2,3.3,76.5
HuHot Mongolian Grill,3,3.77,206.0
Hunger Strike,2,3.5,81.0
Hunger's Hub,2,1.55,8.0
Hungry - I,2,3.15,228.5
Hungry Minister,2,3.5,88.0
Hurry's Paratha,2,3.5,46.0
Hwealthcafe,2,3.8,126.0
Hyderabad House,2,3.1,37.0
Ichiban,2,4.1,766.5
Imly,2,3.9,844.5
Imperfecto,2,3.55,1273.0
Indian Coffee House,3,3.53,603.67
Instapizza,5,3.8,281.2
Invitation,2,1.8,230.0
Italiano,2,3.3,337.0
JSB Evergreen Snack & Sweets,2,3.15,44.0
Jack Po!tato's,2,3.4,26.0
Jahangeer Foods,2,3.25,94.0
Jain Restaurant,2,1.5,3.5
Jaiveer Naan & Chaap,3,2.9,44.33
Jamie's Italian,4,4.05,165.75
Joey's Pizza,2,4.25,3903.5
Joost Juice Bar,3,1.07,3.33
Juice Lounge,2,1.7,13.0
Jungle Jamboree,4,3.82,676.25
Just Vada Pav,3,1.2,32.33
Jyoti Sweets,2,0.0,0.0
KB's Kulfi & Icecream,3,3.13,24.33
KC Bakers,2,1.6,7.0
KFC,18,2.74,129.5
Kake Da Dhaba,2,0.0,1.0
Kake Da Hotel,5,3.28,465.4
Kake Di Hatti,2,3.55,339.0
Kamal's,2,3.25,194.5
Kamboj's,2,2.6,157.5
Kanha Sweets,2,3.45,82.0
Kanwarji's,3,3.43,77.33
Karim's,13,3.03,529.08
Kathi Junction,4,1.62,43.5
Kati Roll Cottage,2,3.6,26.5
Kaveri Restaurant And Caterers,2,3.7,236.0
Kebab Gali,2,3.9,272.0
Kebab Xpress,8,3.02,88.5
Kerala Cafe,3,3.07,71.33
Kesarwa Bakez,2,0.0,1.5
Kettle & Kegs,5,0.0,1.0
Keventers,34,2.87,37.15
Khalsa Veg Corner,2,3.25,16.0
Khan Chacha,7,2.47,658.57
Khan Chicken Biryani,2,2.9,11.5
Khana Khazana,2,1.85,140.5
Khidmat,2,3.5,370.5
Kings Kulfi,6,2.27,13.67
Kitchen King,2,1.3,27.5
Kolkata Biryani House,2,3.1,256.5
Kolkata Hot Kathi Roll,2,2.95,28.0
Kolkata Kathi Roll,2,3.1,53.0
Konetto Pizza,2,1.75,16.0
Koyla Kebab,2,3.35,70.5
Krispy Kreme,3,3.93,419.0
Kulcha King,2,1.9,85.0
Kumar Pastry Shop,2,3.25,39.5
Kwality Wall's Swirl's,4,0.75,1.5
L'Opera,5,3.82,209.2
La Americana,2,3.65,90.0
La Pino'z Pizza,3,3.97,131.33
Lasha Chinese Food,2,0.0,1.5
Laxmi Ice Cream,2,3.55,59.0
Lazeez Restaurant,2,1.5,6.0
Le Chef,2,3.15,70.0
Let's Noodle,2,1.3,91.0
Liquid,2,3.6,17.5
Litti.In,2,3.4,156.0
Little Chef,3,3.4,106.0
Little Italy,2,3.55,113.5
Los Agaves,2,2.05,80.0
MR.D - Deliciousness Delivered,2,3.4,257.5
Mad Over Donuts,5,3.74,135.2
Made In Punjab,2,4.05,958.5
Madhuvan Chinese Fast Food,2,2.6,42.0
Madras Cafe,11,1.92,35.36
Madras Coffee House,2,1.5,2.5
Madras Dosa & Chinese,2,1.35,45.5
Maggi Point,2,0.0,1.0
Magic Masala,2,1.5,6.0
Mahi Rasoi,2,1.3,17.0
Mainland China,6,3.72,423.5
Mamagoto,3,4.17,877.67
Manohar Bikkaneri,2,3.7,72.5
Manohar Dairy And Restaurant,2,4.25,240.5
Matchbox,2,4.4,607.0
McDonald's,48,3.34,110.23
Meatwale.com,4,0.0,1.0
Mellow Mushroom,2,4.25,312.5
Metro Dhaba,2,1.9,209.5
